Company,Gender,CareerStartYear,FellowshipYear,QualTime,DateJoined,Country
AIG,Male,2005,2012,7,01/11/2019,United Kingdom
AIG,Female,1998,2004,6,01/01/2004,United Kingdom
AIG,Male,2021,2013,8,01/09/2018,United Kingdom
AIG,Male,2012,2007,5,01/06/2005,United Kingdom
AIG,Female,2016,2011,5,01/06/2022,United Kingdom
AIG,Female,2020,2015,5,01/05/2017,United Kingdom
AIG,Male,2017,2007,10,01/11/2011,United Kingdom
AIG,Male,2020,2015,5,,United Kingdom
AIG,Female,2023,2005,18,01/03/2020,United Kingdom
AIG,Male,2020,2014,6,01/08/2019,United Kingdom
AIG,Male,2019,2013,6,01/09/2017,United Kingdom
AIG,Male,1993,1990,3,01/03/2022,United Kingdom
AIG,Male,2009,2006,3,01/02/2010,United Kingdom
AIG,Male,2018,2013,5,01/09/2021,United Kingdom
AIG,Male,2018,2014,4,01/05/2016,United Kingdom
AIG,Male,2024,2017,7,01/11/2021,United Kingdom
AIG,Male,2015,2011,4,01/06/2019,United Kingdom
AIG,Male,2003,1998,5,01/09/2017,United Kingdom
AIG,Male,2022,2017,5,01/04/2021,United Kingdom
AIG,Female,2020,2013,7,01/02/2022,United Kingdom
AIG,Male,2017,2007,10,01/06/2021,United Kingdom
AIG,Male,2009,1995,14,01/06/2010,United Kingdom
AIG,Female,2017,2013,4,01/03/2021,United Kingdom
AIG,Male,2021,2016,5,01/01/2022,United Kingdom
AIG,Male,2019,2011,8,01/06/2022,United Kingdom
AIG,Female,2020,2016,4,01/05/2022,United Kingdom
AIG,Female,2010,2004,6,01/11/2021,United Kingdom
AIG,Male,2015,2005,10,01/08/2011,United Kingdom
AIG,Male,2009,2005,4,01/11/2019,United Kingdom
AIG,Male,2013,2010,3,01/01/2015,United Kingdom
AIG,Male,2017,2013,4,01/06/2022,United Kingdom
AIG,Male,2020,2013,7,01/07/2022,United Kingdom
AIG,Male,2023,2018,5,,United Kingdom
AIG,Female,2016,2012,4,01/09/2017,United Kingdom
AIG,Male,2017,2011,6,01/07/2018,United Kingdom
AIG,Male,2010,2000,10,01/10/2000,United Kingdom
AIG,Male,2023,2018,5,01/10/2018,United Kingdom
AIG,Male,2011,2006,5,01/09/2020,United Kingdom
AIG,Male,2012,2008,4,01/08/2013,United Kingdom
AIG,Male,2022,2012,10,01/01/2016,United Kingdom
AIG,Male,2021,2016,5,01/10/2021,United Kingdom
AIG,Male,2020,2011,9,01/01/2016,United Kingdom
AIG,Female,2018,2008,10,01/02/2021,United Kingdom
AIG,Male,2009,2004,5,01/05/2011,United Kingdom
AIG,Male,1992,1987,5,01/10/2024,United Kingdom
Markel,Male,2010,2019,9,01/11/2022,United Kingdom
Markel,Male,2017,2013,4,01/08/2013,United Kingdom
Markel,Female,2017,2012,5,01/06/2020,United Kingdom
Markel,Female,2006,2002,4,,United Kingdom
Markel,Male,2020,2016,4,01/10/2022,United Kingdom
Markel,Male,2013,2010,3,01/11/2022,United Kingdom
Markel,Female,2021,2013,8,01/01/2023,United Kingdom
Markel,Female,2009,2004,5,01/06/2023,United Kingdom
Markel,Male,2009,2005,4,01/12/2011,United Kingdom
Markel,Male,2019,2016,3,01/12/2018,United Kingdom
Markel,Male,2012,2004,8,01/12/2014,United Kingdom
Markel,Female,2014,2007,7,01/08/2023,United Kingdom
Markel,Male,2024,2020,4,01/03/2022,United Kingdom
Markel,Male,2020,2015,5,01/03/2015,United Kingdom
Markel,Female,2018,2015,3,01/02/2019,United Kingdom
Markel,Male,2020,2013,7,01/08/2018,United Kingdom
Markel,Male,2001,1997,4,01/06/2023,United Kingdom
Markel,Male,1999,1994,5,01/02/1997,United Kingdom
Markel,Male,2017,2012,5,01/07/2019,United Kingdom
Markel,Male,2023,2008,15,01/08/2022,United Kingdom
Markel,Male,2013,1999,14,01/11/2022,United Kingdom
Markel,Male,2010,2003,7,01/07/2014,United Kingdom
Markel,Male,2020,2011,9,01/06/2024,United Kingdom
Markel,Male,2019,2015,4,01/08/2023,United Kingdom
Markel,Male,2015,2010,5,01/10/2014,United Kingdom
Markel,Male,2023,2015,8,01/07/2020,United Kingdom
Markel,Male,2021,2012,9,01/12/2022,United Kingdom
Sompo,Male,2022,2017,5,01/07/2024,United Kingdom
Sompo,Male,2016,2012,4,01/02/2018,United Kingdom
Sompo,Male,1995,1990,5,01/09/2019,United Kingdom
Sompo,Male,2023,2018,5,01/08/2024,United Kingdom
Sompo,Male,2014,2009,5,01/05/2022,United Kingdom
Sompo,Male,2021,2016,5,01/12/2022,United Kingdom
Sompo,Male,2022,2018,4,01/10/2018,United Kingdom
Sompo,Male,2009,2006,3,01/12/2010,United Kingdom
Sompo,Male,2021,2017,4,01/08/2017,United Kingdom
Sompo,Female,2016,2011,5,01/10/2015,United Kingdom
Sompo,Female,2018,2007,11,01/05/2022,United Kingdom
Sompo,Male,2020,2014,6,01/02/2022,United Kingdom
Sompo,Male,2016,2008,8,01/03/2021,United Kingdom
Sompo,Male,2005,1999,6,01/02/2020,United Kingdom
Sompo,Female,2022,2014,8,01/01/2023,United Kingdom
Sompo,Female,2023,2018,5,01/08/2022,United Kingdom
Sompo,Male,2020,2016,4,01/11/2021,United Kingdom
Sompo,Male,2010,2006,4,01/11/2024,United Kingdom
Sompo,Male,2015,2010,5,01/03/2022,United Kingdom
Sompo,Female,2007,2004,3,01/03/2021,United Kingdom
Sompo,Male,2015,2010,5,01/02/2016,United Kingdom
Sompo,Female,2014,2006,8,01/02/2022,United Kingdom
Sompo,Male,2010,2005,5,01/01/2024,United Kingdom
Sompo,Female,2014,2007,7,01/06/2016,United Kingdom
Sompo,Male,2008,2004,4,01/10/2015,United Kingdom
Sompo,Male,2021,2013,8,01/02/2023,United Kingdom
AIG,Male,2009,2015,6,01/01/2015,United States
AIG,Female,2020,2024,4,01/10/2020,United States
AIG,Male,2014,2019,5,01/02/2017,United States
AIG,Female,2014,2021,7,01/01/2022,United States
AIG,Male,2009,2012,3,01/08/2021,United States
AIG,Male,2013,2018,5,01/09/2021,United States
AIG,Male,1994,2001,7,01/06/2013,United States
AIG,Male,1984,1997,13,01/12/2021,United States
AIG,Female,2012,2021,9,01/08/2022,United States
AIG,Female,2015,2021,6,,United States
AIG,Male,2014,2021,7,01/06/2014,United States
AIG,Female,2017,2022,5,01/09/2017,United States
AIG,Male,2011,2019,8,01/06/2010,United States
AIG,Male,1979,1992,13,01/04/1995,United States
AIG,Male,2005,2009,4,01/05/2020,United States
AIG,Male,2001,2006,5,01/04/2012,United States
AIG,Female,1996,2004,8,01/10/2013,United States
AIG,Male,2002,2010,8,01/06/2022,United States
AIG,Male,2002,2016,14,01/09/2013,United States
AIG,Female,2018,2024,6,01/03/2018,United States
AIG,Male,1994,2004,10,01/07/2018,United States
AIG,Male,1997,2018,21,01/01/2015,United States
AIG,Male,2011,2019,8,01/05/2022,United States
AIG,Male,2009,2015,6,01/08/2014,United States
AIG,Female,2001,2005,4,01/12/2010,United States
AIG,Female,2013,2021,8,01/01/2021,United States
AIG,Male,1992,2001,9,01/05/2018,United States
AIG,Male,2004,2010,6,,United States
AIG,Male,2011,2021,10,01/02/2013,United States
AIG,Female,2011,2019,8,01/08/2013,United States
AIG,Male,2003,2013,10,01/02/2008,United States
AIG,Female,2001,2007,6,01/01/2014,United States
AIG,Female,2017,2024,7,01/02/2017,United States
AIG,Male,2016,2023,7,01/06/2007,United States
AIG,Female,2012,2019,7,01/01/2015,United States
AIG,Female,2012,2018,6,01/07/2013,United States
AIG,Male,1994,2008,14,01/09/2021,United States
AIG,Male,2011,2016,5,01/01/2014,United States
AIG,Male,2003,2010,7,01/12/2021,United States
AIG,Female,2011,2019,8,01/06/2019,United States
AIG,Male,1977,1983,6,01/10/2010,United States
AIG,Male,1983,1991,8,01/06/2010,United States
AIG,Male,1999,2009,10,01/02/2015,United States
AIG,Female,2007,2011,4,01/03/2013,United States
AIG,Male,2012,2024,12,01/03/2022,United States
AIG,Male,2005,2010,5,01/09/2017,United States
AIG,Female,2007,2011,4,01/01/2015,United States
AIG,Male,2005,2010,5,01/09/2012,United States
AIG,Female,2017,2024,7,01/03/2019,United States
AIG,Female,2000,2007,7,01/07/2023,United States
AIG,Female,2007,2012,5,01/10/2013,United States
AIG,Female,2004,2010,6,01/11/2014,United States
AIG,Male,2014,2019,5,01/07/2014,United States
AIG,Female,2018,2024,6,,United States
Markel,Male,2018,2024,6,01/09/2023,United States
Markel,Male,2005,2011,6,01/06/2016,United States
Markel,Male,2015,2021,6,,United States
Markel,Male,1983,1989,6,01/01/2021,United States
Markel,Male,2012,2021,9,01/11/2018,United States
Markel,Male,2004,2011,7,01/10/2014,United States
Markel,Male,2007,2017,10,01/10/2007,United States
Markel,Male,2019,2023,4,,United States
Markel,Male,2011,2017,6,01/06/2019,United States
Markel,Female,1999,2003,4,01/10/2009,United States
Markel,Male,2013,2023,10,01/02/2013,United States
Markel,Female,1995,2000,5,01/06/2001,United States
Markel,Female,2019,2024,5,01/05/2024,United States
Markel,Female,2007,2012,5,01/05/2010,United States
Markel,Male,2009,2017,8,01/02/2024,United States
Markel,Male,2014,2023,9,01/06/2014,United States
Markel,Female,1997,2003,6,01/01/2021,United States
Markel,Male,2000,2011,11,01/07/2024,United States
Markel,Male,1996,1999,3,01/11/1996,United States
Markel,Male,2001,2013,12,01/03/2024,United States
Markel,Male,2002,2009,7,01/09/2002,United States
Markel,Female,2007,2011,4,01/04/2007,United States
Sompo,Male,2007,2013,6,01/08/2014,United States
Sompo,Male,1997,2003,6,28/10/2013,United States
Sompo,Male,1987,1993,6,01/03/2014,United States
Sompo,Male,2008,2014,6,01/05/2023,United States
Sompo,Female,2006,2016,10,01/11/2023,United States
Sompo,Male,1990,2000,10,01/03/2019,United States
Sompo,Male,2012,2019,7,01/05/2020,United States
Sompo,Female,2011,2017,6,01/07/2016,United States
Sompo,Male,2006,2017,11,01/07/2022,United States
Sompo,Male,2010,2024,14,01/09/2017,United States
Sompo,Male,1995,2005,10,01/05/2018,United States
Sompo,Female,2009,2015,6,01/01/2024,United States
Sompo,Male,2010,2016,6,01/01/2018,United States
Sompo,Male,2007,2016,9,01/11/2007,United States
Sompo,Female,2013,2019,6,01/09/2019,United States
Sompo,Male,2019,2024,5,01/06/2021,United States
Sompo,Female,2013,2018,5,01/03/2022,United States
Sompo,Male,1987,2000,13,01/04/2014,United States
Sompo,Male,2000,2006,6,01/09/2014,United States
Sompo,Female,2015,2021,6,01/11/2020,United States
Sompo,Female,1995,2000,5,01/07/2021,United States
Sompo,Male,2013,2018,5,01/07/2017,United States
Sompo,Male,2015,2021,6,01/07/2024,United States
Sompo,Male,2007,2018,11,01/12/2014,United States
Sompo,Female,2007,2018,11,01/05/2017,United States
Sompo,Male,2007,2010,3,01/08/2024,United States
Sompo,Male,2002,2007,5,01/11/2012,United States
Sompo,Female,1995,2000,5,01/09/2024,United States
Sompo,Female,2003,2007,4,01/07/2023,United States
